entry_id,pdf_page,cet_level,canonical_word,word_form,display_form,member_kind,sense_number,source_family,normalization_rule,review_status,review_reason
0020-02,21,CET-4,abundant,abundance,abundance,derived,,abundant abundance,literal,clean,
0021-01,21,CET-4,abuse,abuse,abuse,canonical,,abuse abusive,literal,clean,
0021-02,21,CET-4,abuse,abusive,abusive,derived,,abuse abusive,literal,clean,
0022-01,21,CET-4,academy,academy,academy,canonical,,academy academic academician,literal,clean,
0022-02,21,CET-4,academy,academic,academic,derived,,academy academic academician,literal,clean,
0022-03,21,CET-4,academy,academician,academician,derived,,academy academic academician,literal,clean,
0023-01,21,CET-4,accelerate,accelerate,accelerate,canonical,,accelerate acceleration,literal,clean,
0023-02,21,CET-4,accelerate,acceleration,acceleration,derived,,accelerate acceleration,literal,clean,
0024-01,21,CET-4,accent,accent,accent,canonical,,accent,literal,clean,
0025-01,21,CET-4,accept,accept,accept,canonical,,accept acceptance acceptable,literal,clean,
0025-02,21,CET-4,accept,acceptance,acceptance,derived,,accept acceptance acceptable,literal,clean,
0025-03,21,CET-4,accept,acceptable,acceptable,derived,,accept acceptance acceptable,literal,clean,
0026-01,21,CET-4,access,access,access,canonical,,access accessible,literal,clean,
0026-02,21,CET-4,access,accessible,accessible,derived,,access accessible,literal,clean,
0027-01,21,CET-6,accessory,accessory,accessory,canonical,,accessory,literal,clean,
0028-01,21,CET-4,accident,accident,accident,canonical,,accident accidental,literal,clean,
0028-02,21,CET-4,accident,accidental,accidental,derived,,accident accidental,literal,clean,
0029-01,21,CET-6,acclaim,acclaim,acclaim,canonical,,acclaim,literal,clean,
0030-01,21,CET-4,accommodate,accommodate,accommodate,canonical,,accommodate accommodation,literal,clean,
0030-02,21,CET-4,accommodate,accommodation,accommodation,derived,,accommodate accommodation,literal,clean,
0031-01,21,CET-4,accompany,accompany,accompany,canonical,,accompany,literal,clean,
0032-01,21,CET-4,accomplish,accomplish,accomplish,canonical,,accomplish accomplishment,literal,clean,
0032-02,21,CET-4,accomplish,accomplishment,accomplishment,derived,,accomplish accomplishment,literal,clean,
0033-01,21,CET-4,accord,accord,accord,canonical,,accord,literal,clean,
0034-01,21,CET-4,accordance,accordance,accordance,canonical,,accordance,literal,clean,
0035-01,21,CET-4,according to,according to,according to,canonical,,accordingto,literal,clean,
0036-01,21,CET-4,accordingly,accordingly,accordingly,canonical,,accordingly,literal,clean,
0037-01,21,CET-4,account,account,account,canonical,,account accounting accountant accountancy,literal,clean,
0037-02,21,CET-4,account,accounting,accounting,derived,,account accounting accountant accountancy,literal,clean,
0037-03,21,CET-4,account,accountant,accountant,derived,,account accounting accountant accountancy,literal,clean,
0037-04,21,CET-4,account,accountancy,accountancy,derived,,account accounting accountant accountancy,literal,clean,
0038-01,21,CET-4,accountable,accountable,accountable,canonical,,accountable accountability,literal,clean,
0038-02,21,CET-4,accountable,accountability,accountability,derived,,accountable accountability,literal,clean,
0039-01,21,CET-4,accumulate,accumulate,accumulate,canonical,,accumulate accumulation accumulative,literal,clean,
0039-02,21,CET-4,accumulate,accumulation,accumulation,derived,,accumulate accumulation accumulative,literal,clean,
0039-03,21,CET-4,accumulate,accumulative,accumulative,derived,,accumulate accumulation accumulative,literal,clean,
0040-01,21,CET-4,accurate,accurate,accurate,canonical,,accurate accuracy,literal,clean,
0040-02,21,CET-4,accurate,accuracy,accuracy,derived,,accurate accuracy,literal,clean,
0041-01,21,CET-4,accuse,accuse,accuse,canonical,,accuse accusation,literal,clean,
0041-02,21,CET-4,accuse,accusation,accusation,derived,,accuse accusation,literal,clean,
0042-01,21,CET-4,accustom,accustom,accustom,canonical,,accustom accustomed,literal,clean,
0042-02,21,CET-4,accustom,accustomed,accustomed,derived,,accustom accustomed,literal,clean,
0043-01,22,CET-4,ace,ace,ace,canonical,,ace,literal,clean,
0044-01,22,CET-4,ache,ache,ache,canonical,,ache,literal,clean,
0045-01,22,CET-4,achieve,achieve,achieve,canonical,,achieve achievement,literal,clean,
0045-02,22,CET-4,achieve,achievement,achievement,derived,,achieve achievement,literal,clean,
0046-01,22,CET-4,acid,acid,acid,canonical,,acid acidity,literal,clean,
0046-02,22,CET-4,acid,acidity,acidity,derived,,acid acidity,literal,clean,
0047-01,22,CET-4,acknowledge,acknowledge,acknowledge,canonical,,acknowledge acknowledgement,literal,clean,
0047-02,22,CET-4,acknowledge,acknowledgement,acknowledgement,derived,,acknowledge acknowledgement,literal,clean,
0048-01,22,CET-4,acquaint,acquaint,acquaint,canonical,,acquaint acquaintance,literal,clean,
0048-02,22,CET-4,acquaint,acquaintance,acquaintance,derived,,acquaint acquaintance,literal,clean,
0049-01,22,CET-4,acquire,acquire,acquire,canonical,,acquire acquisition,literal,clean,
0049-02,22,CET-4,acquire,acquisition,acquisition,derived,,acquire acquisition,literal,clean,
0050-01,22,CET-4,acre,acre,acre,canonical,,acre,literal,clean,
0051-01,22,CET-4,across,across,across,canonical,,across,literal,clean,
0052-01,22,CET-4,act,act,act,canonical,,act action acting,literal,clean,
0052-02,22,CET-4,act,action,action,derived,,act action acting,literal,clean,
0052-03,22,CET-4,act,acting,acting,derived,,act action acting,literal,clean,
0053-01,22,CET-6,activate,activate,activate,canonical,,activate,literal,clean,
0054-01,22,CET-4,active,active,active,canonical,,active activity activist,literal,clean,
0054-02,22,CET-4,active,activity,activity,derived,,active activity activist,literal,clean,
0054-03,22,CET-4,active,activist,activist,derived,,active activity activist,literal,clean,
0055-01,22,CET-4,actor,actor,actor,canonical,,actor actress,literal,clean,
0055-02,22,CET-4,actor,actress,actress,derived,,actor actress,literal,clean,
0056-01,22,CET-4,actual,actual,actual,canonical,,actual actually,literal,clean,
0056-02,22,CET-4,actual,actually,actually,derived,,actual actually,literal,clean,
0057-01,22,CET-6,acupuncture,acupuncture,acupuncture,canonical,,acupuncture,literal,clean,
0058-01,22,CET-4,acute,acute,acute,canonical,,acute,literal,clean,
0059-01,22,CET-4,adapt,adapt,adapt,canonical,,adapt adaptation adaptive,literal,clean,
0059-02,22,CET-4,adapt,adaptation,adaptation,derived,,adapt adaptation adaptive,literal,clean,
0059-03,22,CET-4,adapt,adaptive,adaptive,derived,,adapt adaptation adaptive,literal,clean,
0060-01,22,CET-4,add,add,add,canonical,,add addition additional,literal,clean,
0060-02,22,CET-4,add,addition,addition,derived,,add addition additional,literal,clean,
0060-03,22,CET-4,add,additional,additional,derived,,add addition additional,literal,clean,
0061-01,22,CET-4,addict,addict,addict,canonical,,addict addiction addictive,literal,clean,
0061-02,22,CET-4,addict,addiction,addiction,derived,,addict addiction addictive,literal,clean,
0061-03,22,CET-4,addict,addictive,addictive,derived,,addict addiction addictive,literal,clean,
0062-01,22,CET-4,address,address,address,canonical,,address,literal,clean,
0063-01,22,CET-4,adequate,adequate,adequate,canonical,,adequate adequacy adequately,literal,clean,
0063-02,22,CET-4,adequate,adequacy,adequacy,derived,,adequate adequacy adequately,literal,clean,
0063-03,22,CET-4,adequate,adequately,adequately,derived,,adequate adequacy adequately,literal,clean,
0064-01,22,CET-6,adhere,adhere,adhere,canonical,,adhere adherence,literal,clean,
0064-02,22,CET-6,adhere,adherence,adherence,derived,,adhere adherence,literal,clean,
0065-01,22,CET-6,adjacent,adjacent,adjacent,canonical,,adjacent,literal,clean,
0066-01,22,CET-4,adjective,adjective,adjective,canonical,,adjective,literal,clean,
0067-01,22,CET-4,adjust,adjust,adjust,canonical,,adjust adjustment,literal,clean,
0067-02,22,CET-4,adjust,adjustment,adjustment,derived,,adjust adjustment,literal,clean,
0068-01,22,CET-4,administer,administer,administer,canonical,,administer/administrate administration administrative,literal,clean,
0068-02,22,CET-4,administer,administrate,administrate,canonical_variant,,administer/administrate administration administrative,slash_alternative:literal,spot_check,斜杠并列形式
0068-03,22,CET-4,administer,administration,administration,derived,,administer/administrate administration administrative,literal,clean,
0068-04,22,CET-4,administer,administrative,administrative,derived,,administer/administrate administration administrative,literal,clean,
0069-01,22,CET-4,admire,admire,admire,canonical,,admire admiration admirable,literal,clean,
0069-02,22,CET-4,admire,admiration,admiration,derived,,admire admiration admirable,literal,clean,
0069-03,22,CET-4,admire,admirable,admirable,derived,,admire admiration admirable,literal,clean,
0070-01,22,CET-4,admit,admit,admit,canonical,,admit admission admittance admittedly,literal,clean,
0070-02,22,CET-4,admit,admission,admission,derived,,admit admission admittance admittedly,literal,clean,
0070-03,22,CET-4,admit,admittance,admittance,derived,,admit admission admittance admittedly,literal,clean,
0070-04,22,CET-4,admit,admittedly,admittedly,derived,,admit admission admittance admittedly,literal,clean,
0071-01,22,CET-6,adolescent,adolescent,adolescent,canonical,,adolescent adolescence,literal,clean,
0071-02,22,CET-6,adolescent,adolescence,adolescence,derived,,adolescent adolescence,literal,clean,
0072-01,22,CET-4,adopt,adopt,adopt,canonical,,adopt adoption,literal,clean,
0072-02,22,CET-4,adopt,adoption,adoption,derived,,adopt adoption,literal,clean,
0073-01,22,CET-6,adore,adore,adore,canonical,,adore adorable,literal,clean,
0073-02,22,CET-6,adore,adorable,adorable,derived,,adore adorable,literal,clean,
0074-01,22,CET-4,adult,adult,adult,canonical,,adult adulthood,literal,clean,
0074-02,22,CET-4,adult,adulthood,adulthood,derived,,adult adulthood,literal,clean,
0075-01,22,CET-4,advance,advance,advance,canonical,,advance advancement advanced,literal,clean,
0075-02,22,CET-4,advance,advancement,advancement,derived,,advance advancement advanced,literal,clean,
0075-03,22,CET-4,advance,advanced,advanced,derived,,advance advancement advanced,literal,clean,
0076-01,22,CET-4,advantage,advantage,advantage,canonical,,advantage advantageous,literal,clean,
0076-02,22,CET-4,advantage,advantageous,advantageous,derived,,advantage advantageous,literal,clean,
0077-01,22,CET-6,advent,advent,advent,canonical,,advent,literal,clean,
0078-01,22,CET-4,adventure,adventure,adventure,canonical,,adventure adventurer adventurous,literal,clean,
0078-02,22,CET-4,adventure,adventurer,adventurer,derived,,adventure adventurer adventurous,literal,clean,
0078-03,22,CET-4,adventure,adventurous,adventurous,derived,,adventure adventurer adventurous,literal,clean,
0079-01,22,CET-4,adverb,adverb,adverb,canonical,,adverb,literal,clean,
0080-01,22,CET-6,adversary,adversary,adversary,canonical,,adversary,literal,clean,
0081-01,22,CET-6,adverse,adverse,adverse,canonical,,adverse adversity,literal,clean,
0081-02,22,CET-6,adverse,adversity,adversity,derived,,adverse adversity,literal,clean,
0082-01,22,CET-4,advertise,advertise,advertise,canonical,,advertise advertisement/ad advertising,literal,clean,
0082-02,22,CET-4,advertise,advertisement,advertisement,derived,,advertise advertisement/ad advertising,literal,clean,
0082-03,22,CET-4,advertise,ad,ad,derived_variant,,advertise advertisement/ad advertising,slash_alternative:literal,spot_check,斜杠并列形式；缩写形式
0082-04,22,CET-4,advertise,advertising,advertising,derived,,advertise advertisement/ad advertising,literal,clean,
0083-01,22,CET-4,advice,advice,advice,canonical,,advice,literal,clean,
0084-01,22,CET-4,advise,advise,advise,canonical,,advise advisor/Ｇer advisory advisable,literal,spot_check,PDF 连字符/共享词尾字形已恢复
0084-02,22,CET-4,advise,advisor,advisor,derived,,advise advisor/Ｇer advisory advisable,literal,spot_check,PDF 连字符/共享词尾字形已恢复
0084-03,22,CET-4,advise,adviser,adviser,derived_variant,,advise advisor/Ｇer advisory advisable,shared_suffix:-er,spot_check,共享词尾替换；PDF 连字符/共享词尾字形已恢复
0084-04,22,CET-4,advise,advisory,advisory,derived,,advise advisor/Ｇer advisory advisable,literal,spot_check,PDF 连字符/共享词尾字形已恢复
0084-05,22,CET-4,advise,advisable,advisable,derived,,advise advisor/Ｇer advisory advisable,literal,spot_check,PDF 连字符/共享词尾字形已恢复
0085-01,23,CET-4,advocate,advocate,advocate,canonical,,advocate advocacy,literal,clean,
0085-02,23,CET-4,advocate,advocacy,advocacy,derived,,advocate advocacy,literal,clean,
0086-01,23,CET-4,aerial,aerial,aerial,canonical,,aerial,literal,clean,
0087-01,23,CET-6,aesthetic,aesthetic,aesthetic,canonical,,aesthetic aesthetics,literal,clean,
0087-02,23,CET-6,aesthetic,aesthetics,aesthetics,derived,,aesthetic aesthetics,literal,clean,
0088-01,23,CET-4,affair,affair,affair,canonical,,affair,literal,clean,
0089-01,23,CET-4,affect,affect,affect,canonical,,affect,literal,clean,
0090-01,23,CET-4,affection,affection,affection,canonical,,affection affectionate,literal,clean,
0090-02,23,CET-4,affection,affectionate,affectionate,derived,,affection affectionate,literal,clean,
0091-01,23,CET-6,affiliate,affiliate,affiliate,canonical,,affiliate affiliation,literal,clean,
0091-02,23,CET-6,affiliate,affiliation,affiliation,derived,,affiliate affiliation,literal,clean,
0092-01,23,CET-6,affirm,affirm,affirm,canonical,,affirm affirmation affirmative,literal,clean,
0092-02,23,CET-6,affirm,affirmation,affirmation,derived,,affirm affirmation affirmative,literal,clean,
0092-03,23,CET-6,affirm,affirmative,affirmative,derived,,affirm affirmation affirmative,literal,clean,
0093-01,23,CET-6,affix,affix,affix,canonical,,affix affixation,literal,clean,
0093-02,23,CET-6,affix,affixation,affixation,derived,,affix affixation,literal,clean,
0094-01,23,CET-4,affluent,affluent,affluent,canonical,,affluent affluence,literal,clean,
0094-02,23,CET-4,affluent,affluence,affluence,derived,,affluent affluence,literal,clean,
0095-01,23,CET-4,afford,afford,afford,canonical,,afford affordable affordability,literal,clean,
0095-02,23,CET-4,afford,affordable,affordable,derived,,afford affordable affordability,literal,clean,
0095-03,23,CET-4,afford,affordability,affordability,derived,,afford affordable affordability,literal,clean,
0096-01,23,CET-6,afloat,afloat,afloat,canonical,,afloat,literal,clean,
0097-01,23,CET-4,afraid,afraid,afraid,canonical,,afraid,literal,clean,
0098-01,23,CET-4,after,after,after,canonical,,after,literal,clean,
0099-01,23,CET-6,aftermath,aftermath,aftermath,canonical,,aftermath,literal,clean,
0100-01,23,CET-4,afternoon,afternoon,afternoon,canonical,,afternoon,literal,clean,
0101-01,23,CET-4,afterward,afterward,afterward,canonical,,afterward(s),optional_omitted,spot_check,括号可选拼写
0101-02,23,CET-4,afterward,afterwards,afterwards,canonical_variant,,afterward(s),optional_included,spot_check,括号可选拼写
0102-01,23,CET-4,again,again,again,canonical,,again,literal,clean,
0103-01,23,CET-4,against,against,against,canonical,,against,literal,clean,
0104-01,23,CET-4,age,age,age,canonical,,age aged ag(e)ing,literal,clean,
0104-02,23,CET-4,age,aged,aged,derived,,age aged ag(e)ing,literal,clean,
0104-03,23,CET-4,age,aging,aging,derived,,age aged ag(e)ing,optional_omitted,spot_check,括号可选拼写
0104-04,23,CET-4,age,ageing,ageing,derived_variant,,age aged ag(e)ing,optional_included,spot_check,括号可选拼写
0105-01,23,CET-4,agenda,agenda,agenda,canonical,,agenda,literal,clean,
0106-01,23,CET-4,agent,agent,agent,canonical,,agent agency,literal,clean,
0106-02,23,CET-4,agent,agency,agency,derived,,agent agency,literal,clean,
0107-01,23,CET-6,aggravate,aggravate,aggravate,canonical,,aggravate aggravation,literal,clean,
0107-02,23,CET-6,aggravate,aggravation,aggravation,derived,,aggravate aggravation,literal,clean,
0108-01,23,CET-6,aggregate,aggregate,aggregate,canonical,,aggregate,literal,clean,
0109-01,23,CET-4,aggressive,aggressive,aggressive,canonical,,aggressive aggression,literal,clean,
0109-02,23,CET-4,aggressive,aggression,aggression,derived,,aggressive aggression,literal,clean,
0110-01,23,CET-6,agitate,agitate,agitate,canonical,,agitate agitation,literal,clean,
0110-02,23,CET-6,agitate,agitation,agitation,derived,,agitate agitation,literal,clean,
0111-01,23,CET-4,ago,ago,ago,canonical,,ago,literal,clean,
0112-01,23,CET-6,agony,agony,agony,canonical,,agony,literal,clean,
0113-01,23,CET-4,agree,agree,agree,canonical,,agree agreement agreeable,literal,clean,
0113-02,23,CET-4,agree,agreement,agreement,derived,,agree agreement agreeable,literal,clean,
0113-03,23,CET-4,agree,agreeable,agreeable,derived,,agree agreement agreeable,literal,clean,
0114-01,23,CET-4,agriculture,agriculture,agriculture,canonical,,agriculture agricultural,literal,clean,
0114-02,23,CET-4,agriculture,agricultural,agricultural,derived,,agriculture agricultural,literal,clean,
0115-01,23,CET-4,ahead,ahead,ahead,canonical,,ahead,literal,clean,
0116-01,23,CET-4,aid,aid,aid,canonical,,aid,literal,clean,
0117-01,23,CET-6,aide,aide,aide,canonical,,aide,literal,clean,
0118-01,23,CET-4,aids,aids,AIDS,canonical,,AIDS,literal,clean,
0119-01,23,CET-6,ail,ail,ail,canonical,,ail ailment,literal,clean,
0119-02,23,CET-6,ail,ailment,ailment,derived,,ail ailment,literal,clean,
0120-01,23,CET-4,aim,aim,aim,canonical,,aim,literal,clean,
0121-01,23,CET-4,air,air,air,canonical,,air,literal,clean,
0122-01,23,CET-6,airborne,airborne,airborne,canonical,,airborne,literal,clean,
0123-01,23,CET-4,air-conditioning,air-conditioning,air-conditioning,canonical,,airＧconditioning airＧconditioner,literal,spot_check,PDF 连字符/共享词尾字形已恢复
0123-02,23,CET-4,air-conditioning,air-conditioner,air-conditioner,derived,,airＧconditioning airＧconditioner,literal,spot_check,PDF 连字符/共享词尾字形已恢复
0124-01,23,CET-4,aircraft,aircraft,aircraft,canonical,,aircraft,literal,clean,
0125-01,23,CET-4,airline,airline,airline,canonical,,airline,literal,clean,
0126-01,23,CET-4,airplane,airplane,airplane,canonical,,airplane/aeroplane,literal,clean,
0126-02,23,CET-4,airplane,aeroplane,aeroplane,canonical_variant,,airplane/aeroplane,slash_alternative:literal,spot_check,斜杠并列形式
0127-01,24,CET-4,airport,airport,airport,canonical,,airport,literal,clean,
0128-01,24,CET-4,aisle,aisle,aisle,canonical,,aisle,literal,clean,
0129-01,24,CET-6,akin,akin,akin,canonical,,akin,literal,clean,
0130-01,24,CET-4,alarm,alarm,alarm,canonical,,alarm,literal,clean,
0131-01,24,CET-4,album,album,album,canonical,,album,literal,clean,
0132-01,24,CET-4,alcohol,alcohol,alcohol,canonical,,alcohol alcoholic,literal,clean,
0132-02,24,CET-4,alcohol,alcoholic,alcoholic,derived,,alcohol alcoholic,literal,clean,
0133-01,24,CET-6,ale,ale,ale,canonical,,ale,literal,clean,
0134-01,24,CET-4,alert,alert,alert,canonical,,alert,literal,clean,
0135-01,24,CET-4,algebra,algebra,algebra,canonical,,algebra,literal,clean,
0136-01,24,CET-6,alien,alien,alien,canonical,,alien alienate alienation,literal,clean,
0136-02,24,CET-6,alien,alienate,alienate,derived,,alien alienate alienation,literal,clean,
0136-03,24,CET-6,alien,alienation,alienation,derived,,alien alienate alienation,literal,clean,
0137-01,24,CET-6,align,align,align,canonical,,align alignment,literal,clean,
0137-02,24,CET-6,align,alignment,alignment,derived,,align alignment,literal,clean,
0138-01,24,CET-4,alike,alike,alike,canonical,,alike,literal,clean,
0139-01,24,CET-4,alive,alive,alive,canonical,,alive,literal,clean,
0140-01,24,CET-4,all,all,all,canonical,,all,literal,clean,
0141-01,24,CET-4,allege,allege,allege,canonical,,allege allegation alleged allegedly,literal,clean,
0141-02,24,CET-4,allege,allegation,allegation,derived,,allege allegation alleged allegedly,literal,clean,
0141-03,24,CET-4,allege,alleged,alleged,derived,,allege allegation alleged allegedly,literal,clean,
0141-04,24,CET-4,allege,allegedly,allegedly,derived,,allege allegation alleged allegedly,literal,clean,
0142-01,24,CET-6,allergic,allergic,allergic,canonical,,allergic allergy,literal,clean,
0142-02,24,CET-6,allergic,allergy,allergy,derived,,allergic allergy,literal,clean,
0143-01,24,CET-6,alleviate,alleviate,alleviate,canonical,,alleviate alleviation,literal,clean,
0143-02,24,CET-6,alleviate,alleviation,alleviation,derived,,alleviate alleviation,literal,clean,
0144-01,24,CET-4,alley,alley,alley,canonical,,alley,literal,clean,
0145-01,24,CET-6,allocate,allocate,allocate,canonical,,allocate allocation,literal,clean,
0145-02,24,CET-6,allocate,allocation,allocation,derived,,allocate allocation,literal,clean,
0146-01,24,CET-6,allot,allot,allot,canonical,,allot allotment,literal,clean,
0146-02,24,CET-6,allot,allotment,allotment,derived,,allot allotment,literal,clean,
0147-01,24,CET-4,allow,allow,allow,canonical,,allow,literal,clean,
0148-01,24,CET-4,allowance,allowance,allowance,canonical,,allowance,literal,clean,
0149-01,24,CET-6,alloy,alloy,alloy,canonical,,alloy,literal,clean,
0150-01,24,CET-6,allude,allude,allude,canonical,,allude allusion,literal,clean,
0150-02,24,CET-6,allude,allusion,allusion,derived,,allude allusion,literal,clean,
0151-01,24,CET-6,allure,allure,allure,canonical,,allure allurement,literal,clean,
0151-02,24,CET-6,allure,allurement,allurement,derived,,allure allurement,literal,clean,
0152-01,24,CET-4,ally,ally,ally,canonical,,ally alliance,literal,clean,
0152-02,24,CET-4,ally,alliance,alliance,derived,,ally alliance,literal,clean,
0153-01,24,CET-6,almighty,almighty,almighty,canonical,,almighty,literal,clean,
0154-01,24,CET-4,almost,almost,almost,canonical,,almost,literal,clean,
0155-01,24,CET-6,aloft,aloft,aloft,canonical,,aloft,literal,clean,
0156-01,24,CET-4,alone,alone,alone,canonical,,alone,literal,clean,
0157-01,24,CET-4,along,along,along,canonical,,along,literal,clean,
0158-01,24,CET-4,alongside,alongside,alongside,canonical,,alongside,literal,clean,
0159-01,24,CET-4,aloud,aloud,aloud,canonical,,aloud,literal,clean,
0160-01,24,CET-4,alphabet,alphabet,alphabet,canonical,,alphabet alphabetic(al),literal,clean,
0160-02,24,CET-4,alphabet,alphabetic,alphabetic,derived,,alphabet alphabetic(al),optional_omitted,spot_check,括号可选拼写
0160-03,24,CET-4,alphabet,alphabetical,alphabetical,derived_variant,,alphabet alphabetic(al),optional_included,spot_check,括号可选拼写
0161-01,24,CET-4,already,already,already,canonical,,already,literal,clean,
0162-01,24,CET-4,also,also,also,canonical,,also,literal,clean,
0163-01,24,CET-4,alter,alter,alter,canonical,,alter alteration,literal,clean,
0163-02,24,CET-4,alter,alteration,alteration,derived,,alter alteration,literal,clean,
0164-01,24,CET-6,alternate,alternate,alternate,canonical,,alternate alternation alternately,literal,clean,
0164-02,24,CET-6,alternate,alternation,alternation,derived,,alternate alternation alternately,literal,clean,
0164-03,24,CET-6,alternate,alternately,alternately,derived,,alternate alternation alternately,literal,clean,
0165-01,24,CET-4,alternative,alternative,alternative,canonical,,alternative,literal,clean,
0166-01,24,CET-4,although,although,although,canonical,,although,literal,clean,
0167-01,24,CET-4,altitude,altitude,altitude,canonical,,altitude,literal,clean,
0168-01,24,CET-4,altogether,altogether,altogether,canonical,,altogether,literal,clean,
0169-01,25,CET-4,aluminum,aluminum,aluminum,canonical,,alumin(i)um,optional_omitted,spot_check,括号可选拼写
0169-02,25,CET-4,aluminum,aluminium,aluminium,canonical_variant,,alumin(i)um,optional_included,spot_check,括号可选拼写
0170-01,25,CET-4,always,always,always,canonical,,always,literal,clean,
0171-01,25,CET-4,am,am,am,canonical,,am,literal,clean,
0172-01,25,CET-6,amass,amass,amass,canonical,,amass,literal,clean,
0173-01,25,CET-4,amateur,amateur,amateur,canonical,,amateur,literal,clean,
0174-01,25,CET-4,amaze,amaze,amaze,canonical,,amaze amazing amazement,literal,clean,
0174-02,25,CET-4,amaze,amazing,amazing,derived,,amaze amazing amazement,literal,clean,
0174-03,25,CET-4,amaze,amazement,amazement,derived,,amaze amazing amazement,literal,clean,
0175-01,25,CET-4,ambassador,ambassador,ambassador,canonical,,ambassador,literal,clean,
0176-01,25,CET-6,ambiguous,ambiguous,ambiguous,canonical,,ambiguous ambiguity,literal,clean,
0176-02,25,CET-6,ambiguous,ambiguity,ambiguity,derived,,ambiguous ambiguity,literal,clean,
0177-01,25,CET-4,ambition,ambition,ambition,canonical,,ambition ambitious,literal,clean,
0177-02,25,CET-4,ambition,ambitious,ambitious,derived,,ambition ambitious,literal,clean,
0178-01,25,CET-4,ambulance,ambulance,ambulance,canonical,,ambulance,literal,clean,
0179-01,25,CET-6,amend,amend,amend,canonical,,amend amendment,literal,clean,
0179-02,25,CET-6,amend,amendment,amendment,derived,,amend amendment,literal,clean,
0180-01,25,CET-6,amiable,amiable,amiable,canonical,,amiable,literal,clean,
0181-01,25,CET-4,amid,amid,amid,canonical,,amid(st),optional_omitted,spot_check,括号可选拼写
0181-02,25,CET-4,amid,amidst,amidst,canonical_variant,,amid(st),optional_included,spot_check,括号可选拼写
0182-01,25,CET-6,ammunition,ammunition,ammunition,canonical,,ammunition,literal,clean,
0183-01,25,CET-4,among,among,among,canonical,,among(st),optional_omitted,spot_check,括号可选拼写
0183-02,25,CET-4,among,amongst,amongst,canonical_variant,,among(st),optional_included,spot_check,括号可选拼写
0184-01,25,CET-4,amount,amount,amount,canonical,,amount,literal,clean,
0185-01,25,CET-4,ample,ample,ample,canonical,,ample,literal,clean,
0186-01,25,CET-6,amplify,amplify,amplify,canonical,,amplify amplification,literal,clean,
0186-02,25,CET-6,amplify,amplification,amplification,derived,,amplify amplification,literal,clean,
0187-01,25,CET-4,amuse,amuse,amuse,canonical,,amuse amusing amusement,literal,clean,
0187-02,25,CET-4,amuse,amusing,amusing,derived,,amuse amusing amusement,literal,clean,
0187-03,25,CET-4,amuse,amusement,amusement,derived,,amuse amusing amusement,literal,clean,
0188-01,25,CET-6,analogue,analogue,analogue,canonical,,analogue analogous,literal,clean,
0188-02,25,CET-6,analogue,analogous,analogous,derived,,analogue analogous,literal,clean,
0189-01,25,CET-6,analogy,analogy,analogy,canonical,,analogy,literal,clean,
0190-01,25,CET-4,analyze,analyze,analyze,canonical,,analyze/Ｇyse analysis analytic(al) analyst,literal,spot_check,PDF 连字符/共享词尾字形已恢复
